Theta, Alpha, Low_beta, High_beta, Gamma
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.742031,0.636381,1.20664,0.59968,0.873578,
0.470535,0.880965,0.609296,0.749509,0.97336,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
